date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:49	74299/74299	---M--	200	added ('OK')	image/jpeg	etag:%22507662438ebda1:0%22	http://zinfotec.com/public/products/P-6%20Outdoor{7}.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-6%20Outdoor{7}.jpg	(from http://zinfotec.com/outdoor_fixed)
13:46:50	101047/101047	---M--	200	added ('OK')	image/jpeg	etag:%224cc88108ebda1:0%22	http://zinfotec.com/public/products/P-6%20Outdoor{6}.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-6%20Outdoor{6}.jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:17	160550/160550	---M--	200	added ('OK')	image/jpeg	etag:%22eb8e505c8ebda1:0%22	http://zinfotec.com/public/products/P-4%20Outdoor(3).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Outdoor(3).jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:18	188502/188502	---M--	200	added ('OK')	image/jpeg	etag:%2228c8d44b8ebda1:0%22	http://zinfotec.com/public/products/P-4%20Outdoor.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Outdoor.jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:21	198140/198140	---M--	200	added ('OK')	image/jpeg	etag:%22f983c5518ebda1:0%22	http://zinfotec.com/public/products/P-4%20Outdoor(2).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Outdoor(2).jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:39	138064/138064	---M--	200	added ('OK')	image/jpeg	etag:%224b9c7d638ebda1:0%22	http://zinfotec.com/public/products/P-4%20Outdoor(4).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Outdoor(4).jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:41	141173/141173	---M--	200	added ('OK')	image/jpeg	etag:%22376a9b698ebda1:0%22	http://zinfotec.com/public/products/P-4%20Outdoor(5).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Outdoor(5).jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:47	30890/30890	---M--	200	added ('OK')	image/jpeg	etag:%22f0fb5c8594bda1:0%22	http://zinfotec.com/public/products/P-8%20Outdoor.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-8%20Outdoor.jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:47	1085798/1085798	---M--	200	added ('OK')	image/jpeg	etag:%22024837a6844d51:0%22	http://zinfotec.com/public/assets/Services/ZinfoTec_Services_2019727_557KX5.jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/assets/Services/ZinfoTec_Services_2019727_557KX5.jpg	(from http://zinfotec.com/gallery)
13:47:47	158978/158978	---M--	200	added ('OK')	image/jpeg	etag:%2280627d708ebda1:0%22	http://zinfotec.com/public/products/P-4%20Outdoor(6).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Outdoor(6).jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:49	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:17:47%20GMT	http://zinfotec.com/shop-left-sidebar.html	C:/xampp/htdocs/zinfotec/zinfotec.com/shop-left-sidebar.html	(from http://zinfotec.com/outdoor_fixed)
13:47:52	27922/27922	---M--	200	added ('OK')	image/jpeg	etag:%229f6557a599bda1:0%22	http://zinfotec.com/public/products/P-2%20Indoor.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-2%20Indoor.jpg	(from http://zinfotec.com/indoor_fixed)
13:47:54	111762/111762	---M--	200	added ('OK')	image/jpeg	etag:%22faba76778ebda1:0%22	http://zinfotec.com/public/products/P-4%20Outdoor(7).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Outdoor(7).jpg	(from http://zinfotec.com/outdoor_fixed)
13:47:58	50669/50669	---M--	200	added ('OK')	image/jpeg	etag:%22744bfa2e8ebda1:0%22	http://zinfotec.com/public/products/P-3%20Indoor(2).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-3%20Indoor(2).jpg	(from http://zinfotec.com/indoor_fixed)
13:48:03	20912/20912	---M--	200	added ('OK')	image/jpeg	etag:%22ed7d66b199bda1:0%22	http://zinfotec.com/public/products/P-4%20Indoor.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-4%20Indoor.jpg	(from http://zinfotec.com/indoor_fixed)
13:48:05	81867/81867	---M--	200	added ('OK')	image/jpeg	etag:%22aee09d388ebda1:0%22	http://zinfotec.com/public/products/P-3%20Indoor(3).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-3%20Indoor(3).jpg	(from http://zinfotec.com/indoor_fixed)
13:48:06	110015/110015	---M--	200	added ('OK')	image/jpeg	etag:%22334e39ac99bda1:0%22	http://zinfotec.com/public/products/P-2.5%20Indoor.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-2.5%20Indoor.jpg	(from http://zinfotec.com/indoor_fixed)
13:48:06	21665/21665	---M--	200	added ('OK')	image/jpeg	etag:%22eac488f94bda1:0%22	http://zinfotec.com/public/products/P-8%20Indoor(2).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-8%20Indoor(2).jpg	(from http://zinfotec.com/indoor_fixed)
13:48:10	26813/26813	---M--	200	added ('OK')	image/jpeg	etag:%22bc59bbf09abda1:0%22	http://zinfotec.com/public/products/LED%20Van.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED%20Van.jpg	(from http://zinfotec.com/led_mobile)
13:48:10	15334/15334	---M--	200	added ('OK')	image/jpeg	etag:%22e17e1dbe9bbda1:0%22	http://zinfotec.com/public/products/LED-Van(2).jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED-Van(2).jpg	(from http://zinfotec.com/led_mobile)
